Nome,Nota,Total de Avaliações,Total de Comentários,Desenvolvedor,Versão Atual,Lançamento,Data Ultima Atualização,Hospedagem,Downloads Totais,Comentários
GPS Bike,Offline,131,120,chenkun,6.0.1,18 de set. de 2018,"November 6, 2021",China,5.000+,"[{'Comentario': 'Apos esta ultima atualização o app nao sincroniza com meu telefone...j8 04/11/2021 Vergonha... apos atualizacao so aplicativo nao sincroniza...fora q o aparelho atrion titanium nao atualiaza firmware deste 31/08/2018... 😡😡😡😠', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 4, 18, 1, 32)}, {'Comentario': 'Novamente não está conectando', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 21, 23, 28, 6)}, {'Comentario': 'NAO CONECTA NEM REZANDO', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 29, 13, 2, 20)}, {'Comentario': 'Muito Ruim 👎', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 24, 15, 45, 7)}, {'Comentario': 'Incluíram a opção de excluir a atividade automática no dispositivo... Mas ninguém testou pelo visto, pq ele primeiro excluí a atividade para depois tentar sincronizar 🤦🏻\u200d♂️', 'Nota': 3, 'Data': datetime.datetime(2021, 8, 10, 22, 34, 24)}, {'Comentario': 'Esse aplicativo está muito ruim de se conectar com o átrio, se tenta por diversas vezes e nada. Procurem melhorar isso, poxa isso é um descaso, se fala tanto que esse app não está funcionando e vocês não procuram melhor isso!!! 👎👎👎👎👎👎 👎', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 4, 9, 33, 10)}, {'Comentario': 'Esse app é uma carroça, não funciona! Deveria ser retirado da play story, chega a ser ridículo comprar um aparelho caro e não poder usá-lo da forma que a gente deseja por causa de um app que não funciona.', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 2, 17, 55, 25)}, {'Comentario': 'Normalizou !!!', 'Nota': 5, 'Data': datetime.datetime(2021, 6, 17, 19, 45, 43)}, {'Comentario': 'O app continua não reconhecendo dados do equipamento.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 17, 8, 27, 45)}, {'Comentario': 'Não conecta com bt155', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 16, 5, 19, 54)}]"
Groove RC,Offline,55,30,Multilaser Mobile,1.8,5 de abr. de 2019,"April 5, 2019",Brasil,10.000+,"[{'Comentario': 'Funciona perfeitamente muito top', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 21, 12, 11, 46)}, {'Comentario': 'Funciona bem, mas falta as demais funções do rádio (acessar pastas, equalizador, etc) aí fica show.', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 19, 16, 59, 15)}, {'Comentario': 'Muito bom!!!', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 3, 13, 57, 3)}, {'Comentario': 'Bom legal', 'Nota': 4, 'Data': datetime.datetime(2021, 4, 7, 22, 41, 34)}, {'Comentario': 'Muito bom', 'Nota': 5, 'Data': datetime.datetime(2021, 4, 2, 22, 53, 41)}, {'Comentario': 'Péssimo, não funciona. Usei o mesmo uma vez e nunca mais pegou, jamais comprarei novamente', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 13, 20, 47, 27)}, {'Comentario': 'Alguem que deu certo ai pode explicar como faz??..baixei aqui e nao funcionou', 'Nota': 1, 'Data': datetime.datetime(2021, 2, 17, 15, 6, 40)}, {'Comentario': 'Muito bom', 'Nota': 5, 'Data': datetime.datetime(2021, 2, 7, 12, 14, 16)}, {'Comentario': 'Não funciona', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 4, 13, 2, 34)}, {'Comentario': 'Funciona de boa..estou satisfeito...', 'Nota': 5, 'Data': datetime.datetime(2020, 11, 6, 13, 8, 59)}]"
Hawk Drones,Offline,36,31,Multilaser Mobile,1.1.2,7 de mar. de 2019,"February 26, 2020",Brasil,5.000+,"[{'Comentario': 'Horrível, não sei como é permitido vender algo que não funciona. Carreguei a bateria em 100% , usei 80% da bateria esperando o GPS reconhecer. Horrível o aplicativo, o suporte dessa marca. Amanhã devolvo o drone na loja. Não comprem.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 15, 22, 17, 3)}, {'Comentario': 'Ótimo', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 6, 16, 34, 43)}, {'Comentario': 'As vezes o drone caiu', 'Nota': 4, 'Data': datetime.datetime(2021, 6, 11, 14, 44, 26)}, {'Comentario': 'Não conecta com o drone eagle, só aparece esse app para o mesmo.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 8, 7, 52, 29)}, {'Comentario': 'Pessoal, cadê o aplicativo do Eagle? Só funciona com este?', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 29, 19, 47, 16)}, {'Comentario': 'Precisa ser atualizado este app pelo desenvolvedor, está travando 1 vez por segundo a 0 metros de distância e fica travado por 2 segundos', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 8, 10, 6, 48)}, {'Comentario': 'Interessante', 'Nota': 3, 'Data': datetime.datetime(2021, 5, 7, 11, 34, 16)}, {'Comentario': 'U drone é privem', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 18, 13, 38, 37)}, {'Comentario': 'O GPS não conecta, 5 dias até agora não consegui ligar ele.', 'Nota': 1, 'Data': datetime.datetime(2021, 1, 15, 21, 56, 10)}, {'Comentario': 'Poderia melhorar na questão do GPS no reconhecimento,melhorar na parte de controle dizendo que está conectado ou vinculado ao drone, lembrando que o drone e o controle devem ser ligados simultaneamente para que haja conexão com o controle, processo complicado na decolagem, interface difícil de mexer, espero atualização do aplicativo facilitando esses recusos, e configurar para português a decolagem.', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 18, 13, 41, 56)}]"
Multilaser Drones,Offline,15,8,Multilaser Mobile,1.1.0,17 de jun. de 2021,"June 17, 2021",Brasil,1.000+,"[{'Comentario': 'Não consigo nem ligar isso ...', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 5, 9, 17, 3)}, {'Comentario': 'Não estou conseguindo conectar para fazer vídeos né fotos. Preciso ter um cartão de memória?', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 11, 19, 21, 53)}, {'Comentario': 'Alguem sabe dizer se da certo no drone fenix ?', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 8, 12, 36, 18)}, {'Comentario': 'Fica travando muito a tela do drone, corre risco de quebrar', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 4, 10, 15, 54)}, {'Comentario': 'Muito bom', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 26, 19, 34, 42)}, {'Comentario': 'Ótimo', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 22, 23, 16, 34)}, {'Comentario': 'Muito bom, maravilhoso kkkkk.', 'Nota': 5, 'Data': datetime.datetime(2021, 7, 15, 20, 34, 8)}, {'Comentario': 'Adorei 💕', 'Nota': 5, 'Data': datetime.datetime(2021, 6, 26, 2, 13, 55)}]"
Multilaser Liv,Offline,136,71,Giga Security,1.0.5,20 de nov. de 2019,"August 31, 2021",Brasil,10.000+,"[{'Comentario': 'Dificuldades ao configurar não toca no telefone', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 5, 21, 12, 17)}, {'Comentario': 'Poderia mais de um célula acessar a câmera de segurança', 'Nota': 3, 'Data': datetime.datetime(2021, 11, 1, 22, 46, 59)}, {'Comentario': 'Eu gostei', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 23, 23, 11, 4)}, {'Comentario': 'Muito ruim. Comprei duas fechaduras ""inteligentes"", mas não tem como conectar as mesmas no aplicativo nem com reza braba.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 23, 11, 51, 49)}, {'Comentario': 'Pesso Ajuda. Pois não consigo Faso tudo mais não sai da primeira etapa luz pisca mãos não entra outras cores', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 22, 18, 49, 14)}, {'Comentario': 'O aplicativo é razoável! Entretanto a função de detector de movimento não vai direto ao ponto do evento. Um sugestão é a necessidade de um app/software para PC. Facilita pra quem usar mais câmera a monitorar ambientes.', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 21, 9, 36, 16)}, {'Comentario': 'A função do SE220 porteiro. No app não funciona a gravação por detecção automaticamente. Não gera registros sem gravar manualmente. A detecção só manda uma msg sem vídeo, apenas uma foto.', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 18, 23, 16, 19)}, {'Comentario': '😉', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 17, 12, 21, 47)}, {'Comentario': 'Bom', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 9, 14, 9, 41)}, {'Comentario': 'Experiência horrível , lâmpada não conecta no Google assistente ,suporte péssimo da Multilaser ,não recomendo a ninguém', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 8, 9, 20, 51)}]"
Pulse Player,Offline,14,10,Multilaser Mobile,1.0.0.201209,3 de nov. de 2020,"December 18, 2020",Brasil,1.000+,"[{'Comentario': 'Não possuem a versão para a sp500 não?', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 22, 19, 45, 46)}, {'Comentario': 'Funciona para SP 355 tentei conectar e não consegui?', 'Nota': 3, 'Data': datetime.datetime(2021, 8, 15, 1, 4, 40)}, {'Comentario': 'Ruim como tudo da Multilaser', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 30, 17, 25, 14)}, {'Comentario': 'Deveria fazer um app para todas as caixinhas de som.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 6, 19, 25, 18)}, {'Comentario': 'Ele serve para sp360', 'Nota': 5, 'Data': datetime.datetime(2021, 3, 30, 19, 17, 39)}, {'Comentario': 'Boa noite! Esse aplicativo serve pra sp 386?', 'Nota': 3, 'Data': datetime.datetime(2021, 3, 29, 22, 24, 23)}, {'Comentario': 'Não conecta', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 19, 17, 57, 48)}, {'Comentario': 'Como que faz para a Pulse SP246?', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 20, 14, 48, 53)}, {'Comentario': 'Tem App pra pulse sp 273', 'Nota': 3, 'Data': datetime.datetime(2020, 11, 12, 21, 58, 54)}, {'Comentario': 'Muito bom parabéns. E eu amei o multilaser h.', 'Nota': 5, 'Data': datetime.datetime(2020, 11, 10, 9, 32, 35)}]"
SmartBT iPlug,Offline,434,266,"Shenzhen Anghui Electronic Technology Co., Ltd.",2.0.2,2 de jul. de 2019,"April 2, 2021",China,100.000+,"[{'Comentario': 'Rosângela', 'Nota': 5, 'Data': datetime.datetime(2021, 11, 5, 14, 10, 4)}, {'Comentario': 'O aplicativo apresenta falhas', 'Nota': 4, 'Data': datetime.datetime(2021, 10, 30, 11, 2, 53)}, {'Comentario': 'Joao', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 27, 20, 14, 34)}, {'Comentario': 'Não conecta de jeito nenhum.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 22, 10, 43, 52)}, {'Comentario': 'Não conecta no som, diz que não tem App no dispositivo já estando com aplicativo baixo', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 15, 23, 15, 30)}, {'Comentario': 'Não estou conseguindo nem entra fica falando tempo limitado', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 9, 15, 0, 18)}, {'Comentario': 'bom', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 30, 17, 12, 28)}, {'Comentario': 'Uma pena que consegui usar apenas uma vez. Agora o app não abre. Fica dando erro de tempo de conexão, já desinstalei e instalei de novo, limpei cache e nada. Parecia ser legal.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 28, 7, 53, 4)}, {'Comentario': 'Muito bom', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 23, 1, 13, 1)}, {'Comentario': 'Muito durante um período mas hoje não abre, mas o tempo inspira e desliga automaticamente alguém aí da uma ajuda pra nós', 'Nota': 2, 'Data': datetime.datetime(2021, 9, 21, 0, 0, 55)}]"
SmartLink,Offline,12,7,"Shenzhen gogosunny electronic technology co.,ltd",1.17.0091,7 de out. de 2019,"August 9, 2021",China,1.000+,"[{'Comentario': 'Não abre direito Trava muito', 'Nota': 2, 'Data': datetime.datetime(2021, 11, 4, 7, 41, 8)}, {'Comentario': 'Funciona muito mal Está sempre a parar Uma desilusão', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 23, 19, 57, 35)}]"
SW Atrio,Offline,422,302,Multilaser Mobile,V1.0.32,1 de mar. de 2019,"June 10, 2021",Brasil,10.000+,"[{'Comentario': 'Relogio nao marca as atividades direito trava o tempo td tento abrir o aplicativo e a tele do celular fica preta e nao abre,muito ruim!', 'Nota': 2, 'Data': datetime.datetime(2021, 11, 7, 14, 8, 37)}, {'Comentario': 'Eu gostei bastante mas não chega notificações no relógio. Oque eu faço para voltar a funcionar as notificaçãoes?', 'Nota': 5, 'Data': datetime.datetime(2021, 11, 6, 11, 20, 25)}, {'Comentario': 'Não carrega foto como tema. Modelo Roma Atrio', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 3, 13, 10, 18)}, {'Comentario': 'O aplicativo não funciona bem, e fica a mostra de 1 porcento, sabendo que a bateria está carregada. e não sincroniza a data e horário do relógio.', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 2, 10, 59, 27)}, {'Comentario': 'Poucas opções! Muito FRACO! Que arrependimento, entendo que empresa deve melhorar o APP e soltar uma nova versão, inclusive com medição de saturação sanguina.', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 1, 9, 21, 9)}, {'Comentario': 'Estava funcionando tudo certo, simplesmente ontem parou de funcionar e não conecta mais no aplicativo de vocês, falei com o suporte e não sabe o que aconteceu! Menos de um ano com o aparelho.', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 26, 20, 59, 29)}, {'Comentario': 'Peço que melhorem o aplicativo, ele tem um erro que mostra no gráfico a qualidade de sono leve em azul escuro(gráfico semanal e mensal) e qualidade de sono leve em azul claro, e nesse gráfico ele está ao contrário da descrição, além de outros bugs, peço que avaliem isso, é um descaso tantas reclamações e você nada fazem... Valorizem quem botou fé na marca e façam algo por nós, atualizem o app Até agora nada fizeram, entrei em contato e. App continua o mesmo abandonado sem atualização.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 22, 13, 11, 37)}, {'Comentario': 'Quando comprei o relógio, funcionava muito bem, mas recentemente ele parou de parear, não dá as notificações e não atualiza os dados.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 19, 18, 51, 52)}, {'Comentario': 'Pior relógio que já tive, não dura nem um dia a bateria, não é resistente a água, ao contrário do que tem na descrição de produto e na hora da compra. Pior aquisição que já fiz e só comprei a dois meses.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 18, 12, 15, 24)}, {'Comentario': 'Relógio e aplicativo trava o tempo todo. Que arrependimento de ter comprado. Sem contar as atividades que ele não marcou. Hoje ele apagou a tela e nao ascende mais. Vou esperar a bateria acabar e dar outra carga para testar. Ja contatei o vendedor. Nem um mês de uso e tantos problemas. Fiz uma atividade e nao sincronizou com Strava. Outra diz que ja foi sincronizado. Os batimentos cardíacos nao vão para o Strava. Pelo preço ele é muito amador. Arrependido de ter adquirido este relógio. Péssimo.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 17, 13, 13, 6)}]"
VeryFitPro,Offline,73338,38426,Smart Wearable Devices,3.3.1,15 de nov. de 2016,"September 14, 2021",China,10.000.000+,"[{'Comentario': 'Lixo nao consigo receber mensagens do Whatsapp', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 3, 0, 24, 50)}, {'Comentario': 'Não funciona. Não conecta com a minha Mi Band 6 e, pior ainda, fica desemparelhada do BT', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 1, 8, 41, 4)}, {'Comentario': 'Quero mais wath faceeeeeee 😡😡😡', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 23, 15, 46, 30)}, {'Comentario': 'O aplicativo atende a necessidade do usuário, porém ainda não tem muitas opções de smartfaces na tela inicial do relógio... A ser melhorado.', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 16, 13, 28, 16)}, {'Comentario': 'Não consigo trocar minha watch face do meu bw16, poderia haver uma atualização pra obter esse recurso no app, haja vista que no bw11 tem, porque no bw16 não tem?', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 16, 8, 39, 44)}, {'Comentario': 'Ainda em experiencia', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 10, 0, 41, 44)}, {'Comentario': 'Função muito interessante é permitir ""calibrar"" o medidor de pressão para aumentar sua precisão. De todos smartwatch\'s que testei tem o medidor de pressão mais próximo dos aparelhos de medição tradicionais. Porém apresenta várias pequenas falhas no projeto em relação a interação com redes sociais. Utilizo com o smartwatch Umidifi Ufit. Atende minhas necessidades pela precisão das medições e ser bem completo, simples e intuitivo. Atende minhas necessidades!', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 9, 12, 10, 26)}, {'Comentario': 'Ao sincronizar com o Strava, tem fuso horário que não dá para corrigir. Não sei se é o app ou o Strava que tem bug😭😭😭 quanto ao relógio Blulory é estranho, se não houver movimento do braço não marca a distância no GPS.', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 4, 12, 13, 59)}, {'Comentario': 'Bom dia SUPORTE: na sincronização entre o smartwatch e o APP Google Fit existem benefícios positivos no REGISTRO pela transferência dos dados: medição da quantidade de passos. Os dados da frequência cardíaca são registrados no APP VeryFit Pro. DIFICULDADE: os dados dos sensores corporais, coletados da frequência cardíaca, ainda não são transferidos, para o Google Fit Como fazer a transferência dos dados do APP VeryFit Pro para o Google Fit , por favor?', 'Nota': 4, 'Data': datetime.datetime(2021, 10, 1, 8, 19, 53)}, {'Comentario': 'Funciona', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 30, 13, 22, 23)}]"
X Sport Pro,Offline,258,185,csd001,1.0.8,6 de mai. de 2018,"October 1, 2021",China,10.000+,"[{'Comentario': 'Comprei uma Atrio e o app está funcionando normalmente, transferindo fotos e vídeos para o celular e também gerenciando a câmera. Tudo de forma rápida e fluida', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 25, 20, 11, 35)}, {'Comentario': 'Grava mas depois da erro', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 10, 18, 9, 2)}, {'Comentario': 'Não funciona! Já troquei 3x de câmera e não funciona. Coloco câmera no wi-fi. Ligo meu celular no Wi-Fi coloca pra buscar câmera e o app fecha falando que ocorre erro continuamente. A empresa faz um app que não funciona. Que ridículo.', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 2, 18, 31, 40)}, {'Comentario': 'Ultimamente o app está desconectado o tempo todo e não consigo baixar os arquivos para o celular, já a câmera tem uma filmagem regular mas quando trocamos de tela e voltamos para a tela traseira novamente a imagem fica invertida, no mais ela faz uma filmagem regular, mas creio que o fabricante irá melhorar o hardware quanto o software!...', 'Nota': 3, 'Data': datetime.datetime(2021, 2, 21, 10, 13, 43)}, {'Comentario': 'Não consigo conectar, moto G7 play, Android 10. A Átrio tem suporte para resolver?', 'Nota': 1, 'Data': datetime.datetime(2021, 2, 5, 17, 13, 20)}, {'Comentario': 'Não conecta de forma alguma. Só aparece a mensagem ""tempo limite de conexão"". Alguma previsão pra normalizar? Alguém aí conseguiu usar um outro app?', 'Nota': 1, 'Data': datetime.datetime(2021, 2, 4, 14, 55, 54)}, {'Comentario': 'Para conectar a câmera no celular, colocar a câmera em modo Wi-Fi, na sequência procura a rede da câmera, conforme mostra no visor, clica na rede e digite a senha. Abre o app e clique em conecta a câmera.', 'Nota': 4, 'Data': datetime.datetime(2021, 2, 3, 13, 58, 17)}, {'Comentario': 'Realmente é um lixo😡', 'Nota': 1, 'Data': datetime.datetime(2021, 1, 25, 14, 36, 34)}, {'Comentario': 'Não consigo conectar com a câmera, funcionou por uns dias mas depois parou', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 10, 11, 11, 2)}, {'Comentario': 'Lixo de aplicativo, não consegue conectar de jeito nenhum com a câmera', 'Nota': 1, 'Data': datetime.datetime(2020, 2, 11, 19, 51, 39)}]"
XDV,Offline,11836,6934,wisdomplus,1.9.22,2 de set. de 2015,"August 9, 2020",China,1.000.000+,"[{'Comentario': 'Legal', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 20, 0, 33, 57)}, {'Comentario': 'Era bom, mas parou de funcionar. Não encontra a câmera Atrio', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 10, 12, 50, 1)}, {'Comentario': 'Não entendi como funciona', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 9, 13, 35, 39)}, {'Comentario': 'Desliga direto', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 6, 12, 18, 49)}, {'Comentario': 'Difícil de usar.', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 21, 15, 59, 32)}, {'Comentario': 'Não conecta mais com o celular.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 12, 11, 57, 30)}, {'Comentario': 'Lixo não funciona', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 27, 16, 9, 46)}, {'Comentario': 'Não se consegue conectar a rede com o telemóvel...decepção total', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 5, 13, 3, 44)}, {'Comentario': 'Não consigo conectar com o telemóvel através de Wi-Fi. Não tem um tutorial para explicar a utilização da App. Como superar esta situação?', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 29, 19, 17, 51)}, {'Comentario': 'Excelente!!!', 'Nota': 5, 'Data': datetime.datetime(2021, 6, 22, 20, 58, 26)}]"
EasyCon,Offline,6306,3123,武汉卡比特信息有限公司,3.0.1,18 de out. de 2017,"November 1, 2021",China,1.000.000+,"[{'Comentario': 'Vivi desconectando do multimídia do carro simplesmente horrível. Não presta.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 20, 14, 27, 17)}, {'Comentario': 'Demora muito para conectar', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 17, 2, 14, 22)}, {'Comentario': 'Indico, app muito top para o Multimídia de carros espelhamento 100% Certo.', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 15, 13, 56)}, {'Comentario': 'Ótimo', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 28, 9, 17)}, {'Comentario': 'Pessimo', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 27, 20, 35, 43)}, {'Comentario': 'Simplesmente não baixa.....', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 24, 19, 41, 17)}, {'Comentario': 'Muito bom', 'Nota': 4, 'Data': datetime.datetime(2021, 9, 22, 8, 38, 54)}, {'Comentario': 'Show', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 19, 9, 49, 27)}, {'Comentario': 'Que midia horrível paguei carro na concessionária da Nissan e não presta horrível me arrependi tive fiat Cronos midia dele e maravilhosa com espelhamento dos apps sem sem espelhamento metade da tela como este midia agora está desatualizado e não consigo mais conectar', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 17, 18, 22, 49)}, {'Comentario': 'Não funciona com Android 11', 'Nota': 2, 'Data': datetime.datetime(2021, 9, 10, 16, 1, 58)}]"
Drone New Shark,Offline,6,3,Multilaser Mobile,1.0.0,28 de jan. de 2021,"January 28, 2021",Brasil,500+,"[{'Comentario': 'FUNCIONA GENTE RECOMENDO PELA AVALIAÇÃO ACHEI QUE SERIA RUIM PORÉM TESTEI E DEU CERTO', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 15, 18, 36, 38)}, {'Comentario': 'Não vale nada só conecta com 5g não com 4', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 2, 20, 37, 16)}, {'Comentario': 'Não funciona, não consegue recomhecer que está comectado', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 24, 14, 35, 47)}]"
FalconDrone,Offline,None,0,Multilaser Mobile,1.0.4,4 de mar. de 2021,"September 4, 2021",Brasil,100+,"[{'Comentario': 'Não estou conseguindo conectar ao wireless do drone, abri protocolo na multilaser faz mais de 13 dias e nenhuma resposta até o momento.', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 16, 11, 51, 29)}, {'Comentario': 'App nem sempre compatível com o controle remoto do drone. Trechos do ""Help"" estão mal traduzidos e/ou confusos, algo incompreensível dados o custo e os recursos do drone', 'Nota': 3, 'Data': datetime.datetime(2021, 8, 14, 16, 50, 18)}]"
Giga Admin,Offline,651,352,Giga Security,1.3.5,28 de dez. de 2018,"June 18, 2021",Brasil,100.000+,"[{'Comentario': 'Ta muito ruim o app ,não tá pegando !as câmeras cheios de Buggy ! ajeitem isso pelo amor de Deus .', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 6, 2, 3, 12)}, {'Comentario': 'Impossível de usar, não existe suporte, vergonhoso o q a Multilaser fez com a Giga. Nunca mais compro nada desta marca', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 4, 18, 5, 37)}, {'Comentario': '. sistema péssimo pessoal, Srs. ADM. Pagamos pelo produto, precisamos do sistema em funcionamento, não tem condições da forma que está.!!! Não roda gravação, trava muito ultimamente, verifiquem o quanto antes. Já entrei em contato com os administradores mas nada foi feito, paguei pelo produto mas o sistema não funciona corretamente, o que que está havendo, pesssoooaaalllll???', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 1, 22, 48, 35)}, {'Comentario': 'Muito bom', 'Nota': 5, 'Data': datetime.datetime(2021, 11, 1, 19, 15, 1)}, {'Comentario': 'Meu app esta um lixo nao consigo assisitir gravaçao nem de 2 minutos', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 29, 18, 31, 17)}, {'Comentario': 'Sempre usei esse app, eu tinha um moto G6 e rodava perfeitamente, troquei o aparelho pelo moto G10 e o app não funciona. Poderiam me ajudar?', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 29, 16, 42, 11)}, {'Comentario': 'Sou usuário do aplicativo.. não sei qual a dificuldade de se fazer um software para os clientes que funcione perfeitamente. Tem uma linha de câmeras e dvr de todo tipo, quando quer salvar um vídeo rápido e enviar via aplicativo não tem opção alguma só em foto isso é pura irresponsabilidade de quem admistra uma empresa dessa, inadmissível.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 27, 12, 5, 12)}, {'Comentario': 'O app simplesmente pede para adicionar novo dispositivo quando seleciono a grade de 9 canais, isso incomoda muito', 'Nota': 3, 'Data': datetime.datetime(2021, 10, 24, 10, 46, 6)}, {'Comentario': 'Deveriam deixar o APP aberto o tempo de uso. Ele fecha aos 2 minutos aberto. Tem que ficar abrindo toda hora. (Péssimo isso).', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 20, 20, 43, 28)}, {'Comentario': 'Poferia ser melhor', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 20, 19, 2, 16)}]"
