Nome,Nota,Total de Avaliações,Total de Comentários,Desenvolvedor,Versão Atual,Lançamento,Data Ultima Atualização,Hospedagem,Downloads Totais,Comentários
GPS Bike,1.6,None,0,chenkun,6.6.3,"Sep 18, 2018","January 11, 2022",China,"5,000+","[{'Comentario': 'Não consigo passar minhas atividades para Strava!!!! Sempre ocorre esse problema nas atualização. No aplicativo aparece trajeto concluído mas não passou para o strava! Já desconectei e conectei novamente o computador no app, e também já desvinculei e vincule novamente o app no strava e não tive resposta !!!!!!!!!', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 17, 57, 15)}, {'Comentario': '2° vez q to entrando em contato pois o aplicativo nao esta mais sincronizando e mandando meus treinos para o strava!tentaram me ajudar na 1° mais nao adiantou de nada continua igual.por favor resolvam!', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 15, 9, 56)}, {'Comentario': 'Definitivamente não funciona bem!', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 14, 55, 46)}, {'Comentario': 'Após a última atualização, o app sobe mais a atividade automaticamente para o strava, quando finaliza a atividade e vai passar para o app da GPS BIKE , no final da sincronização da erro, ai tem que fechar e abrir novamente o aplicativo a atividade aparece porém sem a visualização dos mapas... e para subir para o strava tem que ser manual pelo arquivo gpx. Antes dessa última atualização era maravilha, agora está ruim demais.', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 10, 14, 55, 38)}, {'Comentario': 'O app não reconhece a atividade do GPS, consequentemente não passa a atividade para o Strava. Há previsão de resolverem isso? Em dezembro estava funcionando normalmente. Agora não grava as atividades do GPS no aplicativo.', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 11, 6, 31)}]"
Groove RC,3.1,None,0,Multilaser Mobile,1.8,None,"April 5, 2019",Brasil,"10,000+","[{'Comentario': 'Funciona perfeitamente muito top', 'Nota': 5, 'Data': datetime.datetime(2021, 9, 21, 12, 11, 46)}, {'Comentario': 'Funciona bem, mas falta as demais funções do rádio (acessar pastas, equalizador, etc) aí fica show.', 'Nota': 3, 'Data': datetime.datetime(2021, 9, 19, 16, 59, 15)}, {'Comentario': 'Muito bom!!!', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 3, 13, 57, 3)}, {'Comentario': 'Bom legal', 'Nota': 4, 'Data': datetime.datetime(2021, 4, 7, 22, 41, 34)}, {'Comentario': 'Muito bom', 'Nota': 5, 'Data': datetime.datetime(2021, 4, 2, 22, 53, 41)}]"
Hawk Drones,2.2,None,0,Multilaser Mobile,1.1.2,None,"February 26, 2020",Brasil,"5,000+","[{'Comentario': 'Horrível, não sei como é permitido vender algo que não funciona. Carreguei a bateria em 100% , usei 80% da bateria esperando o GPS reconhecer. Horrível o aplicativo, o suporte dessa marca. Amanhã devolvo o drone na loja. Não comprem.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 15, 22, 17, 3)}, {'Comentario': 'Ótimo', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 6, 16, 34, 43)}, {'Comentario': 'As vezes o drone caiu', 'Nota': 4, 'Data': datetime.datetime(2021, 6, 11, 14, 44, 26)}, {'Comentario': 'Não conecta com o drone eagle, só aparece esse app para o mesmo.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 8, 7, 52, 29)}, {'Comentario': 'Pessoal, cadê o aplicativo do Eagle? Só funciona com este?', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 29, 19, 47, 16)}]"
Multilaser Drones,3.9,None,0,Multilaser Mobile,1.1.0,None,"June 17, 2021",Brasil,"1,000+","[{'Comentario': 'O jogo é muito legal', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 10, 21, 53, 30)}, {'Comentario': 'Excelente app!', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 5, 20, 22, 2)}, {'Comentario': 'Camera do drone não conecta com celular... Pra falar a verdade o app q não conecta pois não consigo fazer nada pelo app... o wi-fi conecta normal... Não indico drone da Multilaser... Não tem suporte nem atualização no app', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 26, 23, 27, 31)}, {'Comentario': 'Bom', 'Nota': 5, 'Data': datetime.datetime(2021, 11, 25, 15, 29, 26)}, {'Comentario': 'Não consigo nem ligar isso ...', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 5, 9, 17, 3)}]"
Multilaser Liv,2.9,None,0,Giga Security,1.0.5,"Nov 20, 2019","August 31, 2021",Brasil,"50,000+","[{'Comentario': 'Comprei lâmpadas smart em menos de 10 dias uma parou de funcionar... Não recomendo', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 11, 10, 25, 1)}, {'Comentario': 'Horror a câmera e o aplicativo fica muito a desejar', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 12, 26, 20)}, {'Comentario': 'Não consegui instalar um interruptor inteligente', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 8, 16, 26, 34)}, {'Comentario': 'Muito bom, real time', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 7, 3, 35, 59)}, {'Comentario': 'Não consegui conectar as câmeras a ele, o QR code não lê. A empresa enviou e-mail para solucionar, logo logo farei edição da avaliação.', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 6, 6, 24, 3)}]"
Pulse Player,2.4,None,0,Multilaser Mobile,1.0.0.201209,None,"December 18, 2020",Brasil,"1,000+","[{'Comentario': 'Não tem como conectar', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 24, 23, 20, 14)}, {'Comentario': 'Não conecta na SP 359', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 23, 20, 53, 19)}, {'Comentario': 'qual seria o app pra SP 355?', 'Nota': 3, 'Data': datetime.datetime(2021, 12, 17, 13, 48, 16)}, {'Comentario': 'SP360 PELO MENOS PRA LIGAR', 'Nota': 2, 'Data': datetime.datetime(2021, 12, 13, 10, 15, 2)}, {'Comentario': 'Quando vão desenvolver um app para a SP387?', 'Nota': 4, 'Data': datetime.datetime(2021, 12, 11, 16, 3, 11)}]"
SmartBT iPlug,3.0,489,2,"Shenzhen Anghui Electronic Technology Co., Ltd.",2.0.3,"Jul 2, 2019","January 3, 2022",China,"100,000+","[{'Comentario': 'Por gentileza, atualizem novamente, pois o app não está abrindo.', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 9, 23, 42, 6)}, {'Comentario': 'Ótimo aplicativo !!', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 8, 10, 41, 45)}, {'Comentario': 'Boa tarde,não sei se existe a opção pular pasta,se alguém souber e puder me ajudar agradeço', 'Nota': 4, 'Data': datetime.datetime(2021, 12, 29, 17, 3, 19)}, {'Comentario': 'Não funciona , demora muuuito. Todo mundo esperando no churrasco pra ouvir umas músicas, e demora de mais pra conectar e as vezes não conecta. Melhor da PIONEER.', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 26, 9, 14, 52)}, {'Comentario': 'O APP não abre!!!', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 22, 20, 18, 18)}]"
SmartLink,2.1,None,0,"Shenzhen gogosunny electronic technology co.,ltd",1.17.0091,"Oct 7, 2019","August 9, 2021",China,"1,000+","[{'Comentario': 'Não funciona trava o tempo todo', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 1, 23, 55, 37)}, {'Comentario': 'Esse lixo simplesmente travou e não entra mais.', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 31, 17, 30, 24)}, {'Comentario': 'Boa tarde a todos, não comprem esse produto, acabei de ser informado pela conect parts que o sistema Android desse produto so vai até versão 10, apos isso o produto não tem serventia NENHUMA.... NÃO COMPREM! , Isso e falta de respeito com o consumidor.', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 30, 12, 26, 54)}, {'Comentario': 'O app toda hora trava me impossibilitando de conectar ao som', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 28, 20, 21, 28)}, {'Comentario': 'Estou com problemas o radio parea mas não aparece nada na tela do celular, isso depois do App baixado..não tem como fazer ajustes ETC... por enquanto minha classificacao ao App e baixa..', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 28, 11, 13, 16)}]"
SW Atrio,2.7,None,0,Multilaser Mobile,V1.0.33,None,"November 8, 2021",Brasil,"50,000+","[{'Comentario': 'Meu dispositivo não funciona bem. Usei em duas corridas e depois ele parou de funcionar bem, as telas não trocam, descarrega muito rápido. Bem, foi uma péssima experiência....Hoje tenho um aparelho que não funciona....', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 7, 21, 25, 27)}, {'Comentario': 'É bom fácil de manuseio é fácil', 'Nota': 4, 'Data': datetime.datetime(2022, 1, 7, 11, 59, 34)}, {'Comentario': 'Aparece o ícone de conectado e não acontece mais nada', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 3, 22, 9, 4)}, {'Comentario': 'Otimo', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 1, 20, 40, 5)}, {'Comentario': 'O app funciona perfeitamente parabéns pelo app', 'Nota': 5, 'Data': datetime.datetime(2021, 12, 31, 18, 47, 12)}]"
VeryFitPro,3.1,74935,8547,Smart Wearable Devices,3.3.6,"Nov 15, 2016","December 3, 2021",China,"10,000,000+","[{'Comentario': 'Não aparece os aplicativos de mensagem e outras configurações.', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 8, 16, 27, 4)}, {'Comentario': 'Boa', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 8, 14, 44, 14)}, {'Comentario': 'Perfeito', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 5, 0, 22, 57)}, {'Comentario': 'Não consigo redefinir a senha, já faz 1 semana e sempre dá erro. Não recomendo.', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 4, 19, 31, 14)}, {'Comentario': 'Horrível! Nem abre e quando abre fala que precisa pagar, ano aconselho ninguem instalar', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 25, 16, 52, 14)}]"
X Sport Pro,2.6,None,0,csd001,1.0.8,"May 6, 2018","October 1, 2021",China,"10,000+","[{'Comentario': 'Comprei uma Atrio e o app está funcionando normalmente, transferindo fotos e vídeos para o celular e também gerenciando a câmera. Tudo de forma rápida e fluida', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 25, 20, 11, 35)}, {'Comentario': 'Grava mas depois da erro', 'Nota': 1, 'Data': datetime.datetime(2021, 7, 10, 18, 9, 2)}, {'Comentario': 'Não funciona! Já troquei 3x de câmera e não funciona. Coloco câmera no wi-fi. Ligo meu celular no Wi-Fi coloca pra buscar câmera e o app fecha falando que ocorre erro continuamente. A empresa faz um app que não funciona. Que ridículo.', 'Nota': 1, 'Data': datetime.datetime(2021, 3, 2, 18, 31, 40)}, {'Comentario': 'Ultimamente o app está desconectado o tempo todo e não consigo baixar os arquivos para o celular, já a câmera tem uma filmagem regular mas quando trocamos de tela e voltamos para a tela traseira novamente a imagem fica invertida, no mais ela faz uma filmagem regular, mas creio que o fabricante irá melhorar o hardware quanto o software!...', 'Nota': 3, 'Data': datetime.datetime(2021, 2, 21, 10, 13, 43)}, {'Comentario': 'Não consigo conectar, moto G7 play, Android 10. A Átrio tem suporte para resolver?', 'Nota': 1, 'Data': datetime.datetime(2021, 2, 5, 17, 13, 20)}]"
XDV,2.7,11933,653,wisdomplus,1.9.22,"Sep 2, 2015","August 9, 2020",China,"1,000,000+","[{'Comentario': 'Muito prático e simples de conectar. Agora vou testar a utilização, mas ao que tudo indica é muito simples e prático.', 'Nota': 5, 'Data': datetime.datetime(2021, 12, 29, 13, 4, 25)}, {'Comentario': 'Como faz pra colocar em inglês??? HOW DO I SELECT ENGLISH AS THE APPS LANGUAGE??????', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 8, 10, 15, 4)}, {'Comentario': 'Não consegui conectar seguindo os passos recomendados.', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 28, 11, 28, 18)}, {'Comentario': 'Legal', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 20, 0, 33, 57)}, {'Comentario': 'Era bom, mas parou de funcionar. Não encontra a câmera Atrio', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 10, 12, 50, 1)}]"
Drone New Shark,2.3,None,0,Multilaser Mobile,1.0.0,"Jan 28, 2021","January 28, 2021",Brasil,"1,000+","[{'Comentario': 'FUNCIONA GENTE RECOMENDO PELA AVALIAÇÃO ACHEI QUE SERIA RUIM PORÉM TESTEI E DEU CERTO', 'Nota': 5, 'Data': datetime.datetime(2021, 10, 15, 18, 36, 38)}, {'Comentario': 'Não vale nada só conecta com 5g não com 4', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 2, 20, 37, 16)}, {'Comentario': 'Não funciona, não consegue recomhecer que está comectado', 'Nota': 1, 'Data': datetime.datetime(2021, 5, 24, 14, 35, 47)}]"
FalconDrone,://,None,0,Multilaser Mobile,1.0.4,"Mar 4, 2021","September 4, 2021",Brasil,500+,"[{'Comentario': 'Não estou conseguindo conectar ao wireless do drone, abri protocolo na multilaser faz mais de 13 dias e nenhuma resposta até o momento.', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 16, 11, 51, 29)}, {'Comentario': 'App nem sempre compatível com o controle remoto do drone. Trechos do ""Help"" estão mal traduzidos e/ou confusos, algo incompreensível dados o custo e os recursos do drone', 'Nota': 3, 'Data': datetime.datetime(2021, 8, 14, 16, 50, 18)}]"
EasyCon,3.0,6666,300,"Wuhan CARBIT Information Co.,Ltd",3.0.1,"Oct 18, 2017","November 1, 2021",China,"1,000,000+","[{'Comentario': 'Easy? Onde? Quando? Nada! Hard connection, isso sim! De fácil não tem nada, tudo dá o maior trabalho para se conectar, isso quando consegue!', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 30, 7, 51, 22)}, {'Comentario': 'No meu está dizendo que usuário não registrado gostaria de saber como em que eu faço para registra.', 'Nota': 4, 'Data': datetime.datetime(2021, 12, 23, 12, 56, 45)}, {'Comentario': 'Esse aplicativo não é prático, não tem função nenhuma, não gostei...!', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 13, 16, 29, 12)}, {'Comentario': 'Não funciona mais na minha multimídia', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 6, 9, 44, 7)}, {'Comentario': 'Não serve pra nada ,nem sei como usar ,coloquei na multimídia via USB e nada aconteceu', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 30, 20, 34, 21)}]"
Giga Admin,2.5,None,0,Giga Security,1.4.8,"Dec 28, 2018","December 27, 2021",Brasil,"100,000+","[{'Comentario': 'Péssimo o aplicativo, trava toda hora, não vale absolutamente nada, infelizmente me arrependo de ter adquirido os equipamentos, se soubesse que era ruim assim teria adquirido as câmeras da Intelbras, que funciona adequadamente. Realmente falta de respeito com o consumidor,', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 6, 18, 19, 28)}, {'Comentario': 'Boa', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 4, 18, 4, 29)}, {'Comentario': 'Eu até consigo ver as imagens ,mas depois que saio do aplicativo , tenho que de novo digitar o loguin e senha toda vez . E quando eu digito tudo certinho , o sistema fica tentando conectar e nada de conectar ,I tudo isso com uma Internet boa de qualidade. Agora mesmo tentei acessar as câmeras da minha casa fazendo tudo certo e não consigo ver nada ! Muito ruim esse aplicativo Giga admin .', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 3, 11, 5, 35)}, {'Comentario': 'Gosto muito da Giga as câmeras são de muita qualidade e tenho 4 DVR de 16 completo em casa patrimônio meu. Infelizmente deixa a desejar nos aplicativos de acesso remoto. Muito lento. Quando você abre um da Hilook é muito rápido e as câmeras abrem com qualidade. Os aplicativos da giga além de lentos deixam a imagem Ruim e demora pra abrir', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 31, 10, 26, 17)}, {'Comentario': 'Excelente!!!', 'Nota': 5, 'Data': datetime.datetime(2021, 12, 30, 19, 14, 23)}]"
SW2 Plus,2.2,None,0,W5,1.0.8,"Jul 13, 2018","April 27, 2020",China,"1,000+","[{'Comentario': 'Parte de sincronização horrível, fica com data errada, a Multilaser tem que arrumar isso urgente, o relógio em si é bem legal, mas o app desanima', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 29, 20, 34, 59)}, {'Comentario': 'O relógio até que é bom, mas o App é muito ruinzinho. Além de pouco intuitivo, não sincroniza corretamente, não mostra os gráficos, lento e trava toda hora... enfim, fraco mesmo.', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 29, 17, 47, 42)}, {'Comentario': 'O pior App que ja usei, NÃO comprem o relógio, joguei dinheiro fora, tivesse queimado o dinheiro tinha me dado mais satisfação.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 15, 15, 7, 11)}, {'Comentario': 'App muito Ruim 👎 nada funciona', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 12, 8, 27, 28)}, {'Comentario': 'Infelizmente o aplicativo é muito ruim, ruim não, péssimo. Não sincroniza as atividades e as vezes quando sincroniza, sincroniza com a data errada e a hora errada. O relógio é bom, demora um pouco pra achar o gps, se for no interior de algum imóvel então, não localiza; mas em local aberto, localiza dentro dos 3 minutos prometidos. Mas mesmo assim é uma falha. Eu mando localizar e dou pausa pra não atrasar a saída. Atualizem o app por favor, pra ver se melhora, pq ele é péssimo.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 2, 18, 10, 48)}]"
